Season;StartDate;EndDate;StartMonth;StartDay;StartYear;EndMonth;EndDay;EndYear
Spring;20/03/2022;20/06/2022;3;20;2022;6;20;2022
Summer;21/06/2022;21/09/2022;6;21;2022;9;21;2022
Fall;22/09/2022;20/12/2022;9;22;2022;12;20;2022
Winter;21/12/2022;19/03/2023;12;21;2022;3;19;2023
Spring;20/03/2021;19/06/2021;3;20;2021;6;19;2021
Summer;20/06/2021;21/09/2021;6;20;2021;9;21;2021
Fall;22/09/2021;20/12/2021;9;22;2021;12;20;2021
Winter;21/12/2021;19/03/2022;12;21;2021;3;19;2022
Spring;19/03/2020;19/06/2020;3;19;2020;6;19;2020
Summer;20/06/2020;21/09/2020;6;20;2020;9;21;2020
Fall;22/09/2020;20/12/2020;9;22;2020;12;20;2020
Winter;21/12/2020;19/03/2021;12;21;2020;3;19;2021
Spring;20/03/2019;20/06/2019;3;20;2019;6;20;2019
Summer;21/06/2019;22/09/2019;6;21;2019;9;22;2019
Fall;23/09/2019;20/12/2019;9;23;2019;12;20;2019
Winter;21/12/2019;18/03/2020;12;21;2019;3;18;2020
Spring;20/03/2018;20/06/2018;3;20;2018;6;20;2018
Summer;21/06/2018;21/09/2018;6;21;2018;9;21;2018
Fall;22/09/2018;20/12/2018;9;22;2018;12;20;2018
Winter;21/12/2018;19/03/2019;12;21;2018;3;19;2019
Spring;20/03/2017;20/06/2017;3;20;2017;6;20;2017
Summer;21/06/2017;21/09/2017;6;21;2017;9;21;2017
Fall;22/09/2017;20/12/2017;9;22;2017;12;20;2017
Winter;21/12/2017;19/03/2018;12;21;2017;3;19;2018
Spring;20/03/2016;19/06/2016;3;20;2016;6;19;2016
Summer;20/06/2016;21/09/2016;6;20;2016;9;21;2016
Fall;22/09/2016;20/12/2016;9;22;2016;12;20;2016
Winter;21/12/2016;19/03/2017;12;21;2016;3;19;2017
Spring;20/03/2015;20/06/2015;3;20;2015;6;20;2015
Summer;21/06/2015;22/09/2015;6;21;2015;9;22;2015
Fall;23/09/2015;20/12/2015;9;23;2015;12;20;2015
Winter;21/12/2015;19/03/2016;12;21;2015;3;19;2016
Spring;20/03/2014;20/06/2014;3;20;2014;6;20;2014
Summer;21/06/2014;21/09/2014;6;21;2014;9;21;2014
Fall;22/09/2014;20/12/2014;9;22;2014;12;20;2014
Winter;21/12/2014;19/03/2015;12;21;2014;3;19;2015
Spring;20/03/2013;20/06/2013;3;20;2013;6;20;2013
Summer;21/06/2013;21/09/2013;6;21;2013;9;21;2013
Fall;22/09/2013;20/12/2013;9;22;2013;12;20;2013
Winter;21/12/2013;19/03/2014;12;21;2013;3;19;2014
Spring;20/03/2012;19/06/2012;3;20;2012;6;19;2012
Summer;20/06/2012;21/09/2012;6;20;2012;9;21;2012
Fall;22/09/2012;20/12/2012;9;22;2012;12;20;2012
Winter;21/12/2012;19/03/2013;12;21;2012;3;19;2013
Spring;20/03/2011;20/06/2011;3;20;2011;6;20;2011
Summer;21/06/2011;22/09/2011;6;21;2011;9;22;2011
Fall;23/09/2011;21/12/2011;9;23;2011;12;21;2011
Winter;22/12/2011;19/03/2012;12;22;2011;3;19;2012
Spring;20/03/2010;20/06/2010;3;20;2010;6;20;2010
Summer;21/06/2010;21/09/2010;6;21;2010;9;21;2010
Fall;22/09/2010;20/12/2010;9;22;2010;12;20;2010
Winter;21/12/2010;19/03/2011;12;21;2010;3;19;2011
Spring;20/03/2009;20/06/2009;3;20;2009;6;20;2009
Summer;21/06/2009;21/09/2009;6;21;2009;9;21;2009
Fall;22/09/2009;20/12/2009;9;22;2009;12;20;2009
Winter;21/12/2009;19/03/2010;12;21;2009;3;19;2010
Spring;20/03/2008;19/06/2008;3;20;2008;6;19;2008
Summer;20/06/2008;21/09/2008;6;20;2008;9;21;2008
Fall;22/09/2008;20/12/2008;9;22;2008;12;20;2008
Winter;21/12/2008;19/03/2009;12;21;2008;3;19;2009
Spring;20/03/2007;20/06/2007;3;20;2007;6;20;2007
Summer;21/06/2007;22/09/2007;6;21;2007;9;22;2007
Fall;23/09/2007;21/12/2007;9;23;2007;12;21;2007
Winter;22/12/2007;19/03/2008;12;22;2007;3;19;2008
Spring;20/03/2006;20/06/2006;3;20;2006;6;20;2006
Summer;21/06/2006;22/09/2006;6;21;2006;9;22;2006
Fall;23/09/2006;20/12/2006;9;23;2006;12;20;2006
Winter;21/12/2006;19/03/2007;12;21;2006;3;19;2007
Spring;20/03/2005;20/06/2005;3;20;2005;6;20;2005
Summer;21/06/2005;21/09/2005;6;21;2005;9;21;2005
Fall;22/09/2005;20/12/2005;9;22;2005;12;20;2005
Winter;21/12/2005;19/03/2006;12;21;2005;3;19;2006
