Date;Holiday;WeekDay;Month;Day;Year
01/01/2022;New Year's Day;Saturday;1;1;2022
17/01/2022;Martin Luther King Jr. Day;Monday;1;17;2022
14/02/2022;Valentine's Day;Monday;2;14;2022
21/02/2022;Washington's Birthday;Monday;2;21;2022
17/03/2022;St. Patrick's Day;Thursday;3;17;2022
17/04/2022;Easter Sunday;Sunday;4;17;2022
18/04/2022;Tax Day;Monday;4;18;2022
27/04/2022;Administrative Professionals Day;Wednesday;4;27;2022
08/05/2022;Mother's Day;Sunday;5;8;2022
30/05/2022;Memorial Day;Monday;5;30;2022
19/06/2022;Juneteenth;Sunday;6;19;2022
19/06/2022;Father's Day;Sunday;6;19;2022
20/06/2022;Juneteenth (substitute day);Monday;6;20;2022
04/07/2022;Independence Day;Monday;7;4;2022
05/09/2022;Labor Day;Monday;9;5;2022
10/10/2022;Columbus Day;Monday;10;10;2022
31/10/2022;Halloween;Monday;10;31;2022
11/11/2022;Veterans Day;Friday;11;11;2022
24/11/2022;Thanksgiving Day;Thursday;11;24;2022
25/11/2022;Day after Thanksgiving Day;Friday;11;25;2022
24/12/2022;Christmas Eve;Saturday;12;24;2022
25/12/2022;Christmas Day;Sunday;12;25;2022
26/12/2022;Christmas Day (substitute day);Monday;12;26;2022
31/12/2022;New Year's Eve;Saturday;12;31;2022
01/01/2021;New Year's Day;Friday;1;1;2021
18/01/2021;Martin Luther King Jr. Day;Monday;1;18;2021
14/02/2021;Valentine's Day;Sunday;2;14;2021
15/02/2021;Washington's Birthday;Monday;2;15;2021
17/03/2021;St. Patrick's Day;Wednesday;3;17;2021
04/04/2021;Easter Sunday;Sunday;4;4;2021
15/04/2021;Tax Day;Thursday;4;15;2021
21/04/2021;Administrative Professionals Day;Wednesday;4;21;2021
09/05/2021;Mother's Day;Sunday;5;9;2021
31/05/2021;Memorial Day;Monday;5;31;2021
18/06/2021;Juneteenth (substitute day);Friday;6;18;2021
19/06/2021;Juneteenth;Saturday;6;19;2021
20/06/2021;Father's Day;Sunday;6;20;2021
04/07/2021;Independence Day;Sunday;7;4;2021
05/07/2021;Independence Day (substitute day);Monday;7;5;2021
06/09/2021;Labor Day;Monday;9;6;2021
11/10/2021;Columbus Day;Monday;10;11;2021
31/10/2021;Halloween;Sunday;10;31;2021
11/11/2021;Veterans Day;Thursday;11;11;2021
25/11/2021;Thanksgiving Day;Thursday;11;25;2021
26/11/2021;Day after Thanksgiving Day;Friday;11;26;2021
24/12/2021;Christmas Day (substitute day);Friday;12;24;2021
24/12/2021;Christmas Eve;Friday;12;24;2021
25/12/2021;Christmas Day;Saturday;12;25;2021
31/12/2021;New Year's Day (substitute day);Friday;12;31;2021
31/12/2021;New Year's Eve;Friday;12;31;2021
